mileage,make,fuel,gear,offerType,price,hp,year
235000,BMW,Diesel,Manual,Used,6800,116.0,2011
92800,Volkswagen,Gasoline,Manual,Used,6877,122.0,2011
149300,SEAT,Gasoline,Manual,Used,6900,160.0,2011
96200,Renault,Gasoline,Manual,Used,6950,110.0,2011
156000,Peugeot,Gasoline,Manual,Used,6950,156.0,2011
147000,Toyota,Hybrid,Automatic,Used,6950,99.0,2011
91894,Renault,Diesel,Manual,Used,6970,131.0,2011
127500,Opel,Gasoline,Manual,Used,6972,116.0,2011
115000,Mazda,Gasoline,Automatic,Used,6980,150.0,2011
104,Ford,Diesel,Manual,Used,6990,86.0,2011
59580,Opel,Diesel,Automatic,Used,6990,101.0,2011
84000,Volkswagen,Gasoline,Manual,Used,6990,105.0,2011
427000,Mercedes-Benz,Diesel,Automatic,Used,6990,204.0,2011
109000,Chevrolet,Gasoline,Manual,Used,6990,141.0,2011
194020,Audi,Diesel,Manual,Used,6999,120.0,2011
72000,Volkswagen,Gasoline,Manual,Used,6999,60.0,2011
190000,Renault,Diesel,Manual,Used,6999,150.0,2011
190000,Renault,Diesel,Manual,Used,6999,150.0,2011
85700,Fiat,Diesel,Manual,Used,6999,135.0,2011
82000,Opel,Gasoline,Manual,Used,7000,101.0,2011
44800,Kia,Gasoline,Automatic,Used,7850,86.0,2012
81970,Volkswagen,Gasoline,Manual,Used,7850,105.0,2012
24000,Dacia,Gasoline,Manual,Used,7900,105.0,2012
193333,Volkswagen,Diesel,Manual,Used,7900,105.0,2012
113000,Volkswagen,Gasoline,Manual,Used,7900,105.0,2012
117000,Volkswagen,Gasoline,Manual,Used,7949,105.0,2012
299900,BMW,Diesel,Manual,Used,7950,143.0,2012
104250,Opel,Gasoline,Manual,Used,7950,140.0,2012
151250,Peugeot,Diesel,Manual,Used,7950,163.0,2012
133500,BMW,Diesel,Manual,Used,7980,143.0,2012
105000,Opel,Gasoline,Manual,Used,7980,179.0,2012
114164,Ford,Gasoline,Manual,Used,7990,125.0,2012
128000,MINI,Diesel,Manual,Used,7990,90.0,2012
150000,BMW,Diesel,Manual,Used,7999,143.0,2012
160000,MINI,Gasoline,Manual,Used,7999,122.0,2012
165000,Mercedes-Benz,Diesel,Manual,Used,8000,109.0,2012
51200,Renault,Gasoline,Manual,Used,8000,131.0,2012
107000,Opel,Diesel,Manual,Used,8000,160.0,2012
130000,MINI,Gasoline,Manual,Used,8000,98.0,2012
214000,BMW,Diesel,Automatic,Used,8199,184.0,2012
73760,Opel,Gasoline,Manual,Used,8990,140.0,2013
113000,Volkswagen,Gasoline,Manual,Used,8990,160.0,2013
108803,Hyundai,Diesel,Manual,Used,8990,116.0,2013
7400,Opel,Gasoline,Manual,Used,8990,101.0,2013
239211,BMW,Diesel,Automatic,Used,8990,184.0,2013
86980,Ford,Gasoline,Manual,Used,8995,120.0,2013
98000,Volkswagen,Diesel,Automatic,Used,8999,105.0,2013
98988,Ford,Diesel,Manual,Used,8999,101.0,2013
41124,Opel,Gasoline,Manual,Used,8999,101.0,2013
170000,Volkswagen,Diesel,Manual,Used,8999,140.0,2013
240000,Kia,Gasoline,Automatic,Used,9000,150.0,2013
80500,BMW,Gasoline,Manual,Used,9000,102.0,2013
195327,Ford,Diesel,Manual,Used,9000,140.0,2013
143316,Volkswagen,Gasoline,Automatic,Used,9000,140.0,2013
98100,SEAT,Gasoline,Manual,Used,9100,122.0,2013
113000,Audi,Gasoline,Manual,Used,9100,86.0,2013
94000,Volkswagen,Diesel,Manual,Used,9200,105.0,2013
68700,Chevrolet,Gasoline,Manual,Used,9290,140.0,2013
169500,Toyota,Diesel,Manual,Used,9300,126.0,2013
77000,Volkswagen,Gasoline,Automatic,Used,9300,122.0,2013
45600,Ford,Gasoline,Manual,Used,8990,80.0,2014
230000,Opel,Diesel,Manual,Used,8990,140.0,2014
99756,Volkswagen,Gasoline,Manual,Used,8990,105.0,2014
84600,Toyota,Hybrid,Automatic,Used,8990,143.0,2014
73000,Hyundai,Gasoline,Manual,Used,8990,125.0,2014
133180,Volkswagen,Diesel,Manual,Used,8990,105.0,2014
22700,Volkswagen,Gasoline,Manual,Used,8990,60.0,2014
53000,Skoda,Gasoline,Manual,Used,8999,105.0,2014
149786,BMW,Gasoline,Manual,Used,8999,136.0,2014
197500,Volkswagen,Diesel,Manual,Used,8999,140.0,2014
57000,Kia,Gasoline,Manual,Used,9000,99.0,2014
53286,Skoda,Gasoline,Manual,Used,9100,86.0,2014
84721,Toyota,Gasoline,Automatic,Used,9200,101.0,2014
111000,Audi,Gasoline,Manual,Used,9200,122.0,2014
87500,SEAT,Diesel,Manual,Used,9290,105.0,2014
55000,Skoda,Gasoline,Manual,Used,9300,105.0,2014
77000,Volkswagen,Gasoline,Manual,Used,9300,90.0,2014
166000,Volkswagen,Diesel,Automatic,Used,9400,105.0,2014
55000,Ford,Gasoline,Manual,Used,9450,101.0,2014
140000,Volkswagen,Diesel,Automatic,Used,9990,110.0,2015
160000,Ford,Diesel,Automatic,Used,9999,120.0,2015
240000,Audi,Diesel,Manual,Used,9999,190.0,2015
28238,Opel,Gasoline,Manual,Used,10190,140.0,2015
114327,Opel,Diesel,Automatic,Used,10200,131.0,2015
352000,Peugeot,Diesel,Manual,Used,10298,150.0,2015
80575,Volkswagen,Diesel,Manual,Used,10299,105.0,2015
79987,Ford,Gasoline,Automatic,Used,10444,105.0,2015
166554,Skoda,Diesel,Manual,Used,10490,170.0,2015
